name,street_address,city,county,province,state,postal_code,country,email,phone,cell_phone,gender,dob
Ryan Villanueva,0487 Hull Village Suite 759,New Donald,N/A,Manitoba,N/A,L5Y 2G2,Canada,thomas15@yahoo.com,1 (193) 877-8408,N/A,M,1954-11-03
Lisa Daniel,141 Hodges Mountains,Kramerville,N/A,Nunavut,N/A,R8S 5A4,Canada,valenzuelaanthony@gmail.com,(406) 360-8377 x835,N/A,F,1993-11-19
Michelle Johnson,15244 Catherine Prairie,South Danielle,N/A,Yukon Territory,N/A,Y5T1X1,Canada,steven56@yahoo.com,(628) 233-0252 x288,N/A,F,1982-05-14
Amanda Gonzalez,825 Garrett Circles,Port Taylorside,N/A,New Brunswick,N/A,V8Y 7Y3,Canada,cynthiaparrish@hotmail.com,+1 (701) 290-4047,N/A,F,1968-08-25
Erica Hernandez,1672 Carl Locks,Laurenton,N/A,New Brunswick,N/A,L5H4E1,Canada,lauren32@yahoo.com,1-851-956-8323,N/A,F,2004-04-18
Jack Hernandez,580 Parsons Gateway Apt. 215,Oneillfurt,N/A,Ontario,N/A,K7A 5J3,Canada,zmoore@gmail.com,399 722 0033,N/A,M,1993-05-04
Robert Shepard,4002 Sheppard Street,Luistown,N/A,Newfoundland and Labrador,N/A,J9S2Y4,Canada,elizabeth91@yahoo.com,1 (115) 647-1341,N/A,M,1965-06-18
Anthony Tate,60181 Aguilar Parkways Apt. 016,Jonesland,N/A,Ontario,N/A,B1E7K1,Canada,brandongarrison@yahoo.com,+1 (428) 194-8219,N/A,M,1954-10-19
Amanda Scott,6230 Derrick Valleys,South Darlene,N/A,Nunavut,N/A,T4R7V2,Canada,byoung@hotmail.com,1-786-761-4116,N/A,F,1991-12-01
Patrick Doyle,542 Michelle Avenue Suite 879,West Angelaton,N/A,Saskatchewan,N/A,H3T3S4,Canada,rodriguezwilliam@hotmail.com,761.433.6143,N/A,M,1963-02-25
