name,street_address,city,county,province,state,postal_code,country,email,phone,cell_phone,gender,dob
Hugh Smith-Rees,"Studio 0
Arnold Oval",Bellport,Clackmannanshire,N/A,N/A,PA3 4FE,United Kingdom,dylangibson@gmail.com,0909 8790578,+44(0)7700 900 489,M,1988-05-18
Henry Barnes-Lewis,141 Carter Mountains,Pearsonville,Dumfries and Galloway,N/A,N/A,S6 7LJ,United Kingdom,paynejoanna@gmail.com,+44(0)909 879 0636,+44(0)7700 900 150,M,1982-01-18
Ronald Wood,1 Lee Street,Tonyborough,North Lanarkshire,N/A,N/A,G6 8QX,United Kingdom,evansstanley@yahoo.co.uk,0151 496 0828,+447700 900840,M,2001-03-05
Jill Kelly,825 Johnson Circles,Port Paulineview,Fife,N/A,N/A,L78 6FJ,United Kingdom,daviesphilip@yahoo.com,03069990904,+44(0)7700 900286,F,1952-07-18
Nigel Cooke-Spencer,16 Nash Cliff,South Georginaport,Derbyshire,N/A,N/A,N42 4HA,United Kingdom,dylanharris@outlook.com,09098790519,+44(0)7700 900443,M,1961-01-22
Sheila Taylor-Sims,"Studio 58b
Russell Gateway",East Nathanstad,City of Edinburgh,N/A,N/A,S81 0HS,United Kingdom,khanmarian@yahoo.co.uk,+441154960200,(07700) 900262,F,1961-01-26
Gerald Smith,40 Jacob Shore,Arnoldstad,West Yorkshire,N/A,N/A,M7 6XX,United Kingdom,cheryl91@yahoo.co.uk,0131 4960156,+44(0)7700 900139,M,1973-02-24
Grace Oliver,"Flat 60
Paula Court",Caroleton,East Ayrshire,N/A,N/A,B16 1JD,United Kingdom,mayharriet@outlook.com,(020)74960099,+447700900609,F,1975-09-06
Dr Nicholas Moss,62 Geraldine Cape,East Louishaven,Northumberland,N/A,N/A,RM07 7RU,United Kingdom,bhenry@outlook.com,+441184960867,+44(0)7700 900 361,M,1948-02-07
Ms Angela Singh,"Studio 54
Christian Way",West Stephaniemouth,North Lanarkshire,N/A,N/A,N8 6GT,United Kingdom,leegriffiths@hotmail.co.uk,+44909 8790916,+44(0)7700900622,F,1980-07-10
